a,p,q,f,l,T,m,M,
6078315,0.00011016,9,7587938,7587938,8:30:00 PM,FALSE,TRUE,10.39
6078316,0.00011029,25,7587939,7587939,8:30:00 PM,FALSE,TRUE,10.52
6078317,0.00011034,200,7587940,7587940,8:30:00 PM,FALSE,TRUE,10.57
6078318,0.00011048,1000,7587941,7587941,8:30:00 PM,FALSE,TRUE,10.71
6078319,0.00011062,5,7587942,7587942,8:30:00 PM,FALSE,TRUE,10.85
6078320,0.0001107,3.93,7587943,7587943,8:30:00 PM,FALSE,TRUE,10.93
6078321,0.00010999,6,7587944,7587944,8:30:00 PM,FALSE,TRUE,10.22
6078322,0.00010999,15,7587945,7587945,8:30:00 PM,FALSE,TRUE,10.22
6078323,0.0001107,4.07,7587946,7587946,8:30:00 PM,FALSE,TRUE,10.93
6078324,0.00011099,1,7587947,7587947,8:30:00 PM,FALSE,TRUE,11.22
6078325,0.000111,60,7587948,7587949,8:30:00 PM,FALSE,TRUE,11.23
6078326,0.0001111,111,7587950,7587950,8:30:00 PM,FALSE,TRUE,11.33
6078327,0.00011111,15.93,7587951,7587951,8:30:00 PM,FALSE,TRUE,11.34
6078328,0.00011026,19,7587952,7587952,8:30:00 PM,FALSE,TRUE,10.49
6078329,0.00011026,26,7587953,7587953,8:30:00 PM,FALSE,TRUE,10.49
6078330,0.00011026,30,7587954,7587954,8:30:00 PM,FALSE,TRUE,10.49
6078331,0.00011111,1000.07,7587955,7587958,8:30:00 PM,FALSE,TRUE,11.34
6078332,0.00011144,25,7587959,7587959,8:30:00 PM,FALSE,TRUE,11.67
6078333,0.00011147,1,7587960,7587960,8:30:00 PM,FALSE,TRUE,11.70
6078334,0.00011152,6,7587961,7587961,8:30:00 PM,FALSE,TRUE,11.75
6078335,0.00011184,3,7587962,7587962,8:30:00 PM,FALSE,TRUE,12.08
6078336,0.00011188,3,7587963,7587963,8:30:00 PM,FALSE,TRUE,12.12
6078337,0.00011199,1,7587964,7587964,8:30:00 PM,FALSE,TRUE,12.23
6078338,0.000112,4,7587965,7587965,8:30:00 PM,FALSE,TRUE,12.24
6078339,0.00011208,30,7587966,7587966,8:30:00 PM,FALSE,TRUE,12.32
6078340,0.0001121,50,7587967,7587967,8:30:00 PM,FALSE,TRUE,12.34
6078341,0.00011216,15,7587968,7587968,8:30:00 PM,FALSE,TRUE,12.40
6078342,0.0001122,2,7587969,7587969,8:30:00 PM,FALSE,TRUE,12.44
6078343,0.00011236,10,7587970,7587970,8:30:00 PM,FALSE,TRUE,12.60
6078344,0.00011244,388.93,7587971,7587971,8:30:00 PM,FALSE,TRUE,12.68
6078345,0.00011244,64.07,7587972,7587972,8:30:00 PM,FALSE,TRUE,12.68
6078346,0.0001126,7.93,7587973,7587973,8:30:00 PM,FALSE,TRUE,12.84
6078347,0.0001126,6.07,7587974,7587974,8:30:00 PM,FALSE,TRUE,12.84
6078348,0.00011294,5,7587975,7587975,8:30:00 PM,FALSE,TRUE,13.18
6078349,0.00011299,1,7587976,7587976,8:30:00 PM,FALSE,TRUE,13.23
6078350,0.000113,107,7587977,7587978,8:30:00 PM,FALSE,TRUE,13.24
6078351,0.0001133,100,7587979,7587979,8:30:00 PM,FALSE,TRUE,13.54
6078352,0.0001134,110,7587980,7587980,8:30:00 PM,FALSE,TRUE,13.64
6078353,0.00011348,9,7587981,7587981,8:30:00 PM,FALSE,TRUE,13.72
6078354,0.0001135,77.56,7587982,7587983,8:30:00 PM,FALSE,TRUE,13.74
6078355,0.00011356,22,7587984,7587985,8:30:00 PM,FALSE,TRUE,13.80
6078356,0.00011364,14,7587986,7587986,8:30:00 PM,FALSE,TRUE,13.88
6078357,0.00011376,50,7587987,7587987,8:30:00 PM,FALSE,TRUE,14.00
6078358,0.0001138,22,7587988,7587990,8:30:00 PM,FALSE,TRUE,14.04
6078359,0.00011399,1,7587991,7587991,8:30:00 PM,FALSE,TRUE,14.23
6078360,0.00011416,2,7587992,7587992,8:30:00 PM,FALSE,TRUE,14.40
6078361,0.0001142,17,7587993,7587993,8:30:00 PM,FALSE,TRUE,14.44
6078362,0.00011425,8,7587994,7587994,8:30:00 PM,FALSE,TRUE,14.49
6078363,0.00011454,30,7587995,7587995,8:30:00 PM,FALSE,TRUE,14.78
6078364,0.0001146,1,7587996,7587996,8:30:00 PM,FALSE,TRUE,14.84
6078365,0.00011499,1,7587997,7587997,8:30:00 PM,FALSE,TRUE,15.23
6078366,0.000115,299,7587998,7588001,8:30:00 PM,FALSE,TRUE,15.24
6078367,0.0001153,54,7588002,7588002,8:30:00 PM,FALSE,TRUE,15.54
6078368,0.00011599,1,7588003,7588003,8:30:00 PM,FALSE,TRUE,16.23
6078369,0.000116,5.37,7588004,7588004,8:30:00 PM,FALSE,TRUE,16.24
6078370,0.000116,30.98,7588005,7588007,8:30:00 PM,FALSE,TRUE,16.24
6078371,0.00011699,1,7588008,7588008,8:30:00 PM,FALSE,TRUE,17.24
6078372,0.000117,411.02,7588009,7588010,8:30:00 PM,FALSE,TRUE,17.25
6078373,0.000117,85,7588011,7588011,8:30:00 PM,FALSE,TRUE,17.25
6078374,0.00011025,19,7588012,7588012,8:30:00 PM,FALSE,TRUE,10.48
6078375,0.00010651,189,7588013,7588013,8:30:00 PM,TRUE,TRUE,6.73
6078376,0.00010651,189,7588014,7588015,8:30:00 PM,TRUE,TRUE,6.73
6078377,0.00010651,189,7588016,7588016,8:30:00 PM,TRUE,TRUE,6.73
6078378,0.00011025,8,7588017,7588017,8:30:00 PM,FALSE,TRUE,10.48
6078379,0.00011025,297,7588018,7588018,8:30:00 PM,FALSE,TRUE,10.48
6078380,0.000117,508,7588019,7588019,8:30:00 PM,FALSE,TRUE,17.25
6078381,0.000117,24,7588020,7588020,8:30:00 PM,FALSE,TRUE,17.25
6078382,0.000117,8,7588021,7588021,8:30:00 PM,FALSE,TRUE,17.25
6078383,0.00011699,8,7588022,7588022,8:30:00 PM,FALSE,TRUE,17.24
6078384,0.00011699,259,7588023,7588023,8:30:00 PM,FALSE,TRUE,17.24
6078385,0.000117,545,7588024,7588024,8:30:00 PM,FALSE,TRUE,17.25
6078386,0.000117,288,7588025,7588025,8:30:00 PM,FALSE,TRUE,17.25
